2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
